date,observed,trend,seasonal,resid
2018-07-12,4980.27,11740.51357142857,67658.82526623465,-74419.06883766322
2018-07-13,2316.83,10716.204234693876,20801.18047695594,-29200.554711649813
2018-07-14,0.0,9691.894897959184,-111542.93456672598,101851.0396687668
2018-07-15,0.0,7525.462857142857,-100977.26519854026,93451.8023413974
2018-07-16,33558.15,7274.631428571428,43850.4095355246,-17566.89096409603
2018-07-17,5374.089999999999,6943.655714285714,38414.599230450534,-39984.16494473625
2018-07-18,6448.9,6943.655714285714,41795.18525610053,-42289.94097038624
2018-07-19,3224.45,6943.655714285714,67658.82526623465,-71378.03098052036
2018-07-20,0.0,2149.6342857142854,20801.18047695594,-22950.814762670223
2018-07-21,0.0,1381.9071428571428,-111542.93456672598,110161.02742386883
2018-07-22,0.0,460.63571428571424,-100977.26519854026,100516.62948425455
2018-07-23,0.0,0.0,43850.4095355246,-43850.4095355246
2018-07-24,0.0,0.0,38414.599230450534,-38414.599230450534
2018-07-25,0.0,0.0,41795.18525610053,-41795.18525610053
2018-07-26,0.0,0.0,67658.82526623465,-67658.82526623465
2018-07-27,0.0,0.0,20801.18047695594,-20801.18047695594
2018-07-28,0.0,0.0,-111542.93456672598,111542.93456672598
2018-07-29,0.0,0.0,-100977.26519854026,100977.26519854026
2018-07-30,0.0,0.0,43850.4095355246,-43850.4095355246
2018-07-31,0.0,0.0,38414.599230450534,-38414.599230450534
2018-08-01,0.0,0.0,41795.18525610053,-41795.18525610053
2018-08-02,0.0,0.0,67658.82526623465,-67658.82526623465
2018-08-03,0.0,0.0,20801.18047695594,-20801.18047695594
2018-08-04,0.0,0.0,-111542.93456672598,111542.93456672598
2018-08-05,0.0,0.0,-100977.26519854026,100977.26519854026
2018-08-06,0.0,0.0,43850.4095355246,-43850.4095355246
2018-08-07,0.0,0.0,38414.599230450534,-38414.599230450534
2018-08-08,0.0,0.0,41795.18525610053,-41795.18525610053
2018-08-09,0.0,0.0,67658.82526623465,-67658.82526623465
2018-08-10,0.0,0.0,20801.18047695594,-20801.18047695594
2018-08-11,0.0,0.0,-111542.93456672598,111542.93456672598
2018-08-12,0.0,0.0,-100977.26519854026,100977.26519854026
2018-08-13,0.0,0.0,43850.4095355246,-43850.4095355246
2018-08-14,0.0,0.0,38414.599230450534,-38414.599230450534
2018-08-15,0.0,0.0,41795.18525610053,-41795.18525610053
2018-08-16,0.0,0.0,67658.82526623465,-67658.82526623465
2018-08-17,0.0,0.0,20801.18047695594,-20801.18047695594
2018-08-18,0.0,0.0,-111542.93456672598,111542.93456672598
2018-08-19,0.0,0.0,-100977.26519854026,100977.26519854026
2018-08-20,0.0,0.0,43850.4095355246,-43850.4095355246
2018-08-21,0.0,0.0,38414.599230450534,-38414.599230450534
2018-08-22,0.0,0.0,41795.18525610053,-41795.18525610053
2018-08-23,0.0,0.0,67658.82526623465,-67658.82526623465
2018-08-24,0.0,0.0,20801.18047695594,-20801.18047695594
2018-08-25,0.0,0.0,-111542.93456672598,111542.93456672598
