id,warranty,list_price,weight,sequence,color,write_uid,uom_id,description_purchase,default_code,create_date,create_uid,sale_ok,purchase_ok,message_last_post,company_id,uom_po_id,description_sale,description,volume,write_date,active,categ_id,name,rental,type,sale_line_warn,sale_line_warn_msg,track_service,invoice_policy,expense_policy,tracking,location_id,description_picking,warehouse_id,sale_delay,can_be_expensed,purchase_line_warn_msg,purchase_method,purchase_line_warn,use_time,life_time,removal_time,alert_time,produce_delay,landed_cost_ok,split_method,website_description,hs_code,tc_state,oc_state,secretaria_code,mercosur_code,product_brand_id,pack_cat,flavor_id,quote_description
227,,1,2.69,1,,6,41,,BAR001x3x32,3/6/18 17:44,1,FALSE,FALSE,,1,41,,,12.3,12/9/20 19:34,FALSE,1,BARRA | Almendras y coco 32 tripack x28g (32u),FALSE,product,no-message,,manual,order,no,lot,,,,0,FALSE,,receive,no-message,,180,,,0,,equal,,,,,,,,3,1,
228,,1,0.084,1,,6,21,,BAR001x3,3/6/18 17:44,1,TRUE,FALSE,,1,21,,,0.36,1/20/21 18:00,TRUE,1,BARRA | Almendras y coco tripack x28g,FALSE,product,no-message,,manual,order,no,lot,,,,0,FALSE,,receive,no-message,,180,,,0,,equal,,,,,,,1,3,1,
229,,1,0.028,1,,9,1,,BAR001,3/6/18 17:44,1,TRUE,FALSE,,1,1,,,0.09,4/27/21 12:25,TRUE,1,BARRA | Almendras y coco x28g,FALSE,product,no-message,,manual,order,no,lot,,,,0,FALSE,,receive,no-message,,180,,,0,,equal,,,,,,,1,2,1,
230,,1,1.68,1,,9,25,,BAR001x60,3/6/18 17:44,1,TRUE,FALSE,,1,25,,,6,4/22/21 15:48,TRUE,1,BARRA | Almendras y coco 60u x28g,FALSE,product,no-message,,manual,order,no,lot,,,,0,FALSE,,receive,no-message,,180,,,0,,equal,,,,,,,1,2,1,
231,,1,2.688,1,,9,22,,BAR003x12x8,3/6/18 17:44,1,TRUE,FALSE,,1,22,,,12.3,4/28/21 14:02,TRUE,1,BARRA | Manzana y chía 8 disp 12u x28g (96u),FALSE,product,no-message,,manual,order,no,lot,,,,0,FALSE,,receive,no-message,,180,,,0,,equal,,,,,,,1,1,37,
232,,1,0.336,1,,8,20,,BAR003x12,3/6/18 17:44,1,TRUE,FALSE,,1,20,,,1.44,4/27/21 12:59,TRUE,1,BARRA | Manzana y chía disp 12u x28g,FALSE,product,no-message,,manual,order,no,lot,,,,0,FALSE,,receive,no-message,,180,,,0,,equal,,,,,,,1,1,37,
233,,1,0.336,1,,8,20,,MIX008x12,3/6/18 17:44,1,TRUE,FALSE,,1,20,,,2,4/20/21 12:13,TRUE,4,SNACK | Almendras y maní picante disp 12u x28g,FALSE,product,no-message,,manual,order,no,lot,,,,0,FALSE,,receive,no-message,,180,,,0,,equal,,,,,,,1,8,65,
234,,1,1.68,1,,9,25,,MIX008x60,3/6/18 17:44,1,TRUE,FALSE,,1,25,,,6,4/20/21 10:53,TRUE,4,SNACK | Almendras y maní picante disp 60u x28g,FALSE,product,no-message,,manual,order,no,lot,,,,0,FALSE,,receive,no-message,,180,,,0,,equal,,,,,,,1,9,65,
235,,1,2.688,1,,9,22,,MIX008x12x8,3/6/18 17:44,1,TRUE,FALSE,,1,22,,,20,4/20/21 10:52,TRUE,4,SNACK | Almendras y maní picante 8 disp 12u x28g (96u),FALSE,product,no-message,,manual,order,no,lot,,,,0,FALSE,,receive,no-message,,180,,,0,,equal,,,,,,,1,8,65,
236,,1,0.028,1,,9,1,,MIX008,3/6/18 17:44,1,TRUE,FALSE,,1,1,,,0.18,4/20/21 10:51,TRUE,4,SNACK | Almendras y maní picante x28g,FALSE,product,no-message,,manual,order,no,lot,,,,0,FALSE,,receive,no-message,,180,,,0,,equal,,,,,,,1,9,65,
237,,1,0.336,1,,9,20,,MIX002x12,3/6/18 17:44,1,TRUE,FALSE,,1,20,,,2,4/28/21 14:15,TRUE,4,"SNACK | Cajú, arándanos y curry disp 12u x28g",FALSE,product,no-message,,manual,order,no,lot,,,,0,FALSE,,receive,no-message,,180,,,0,,equal,,,,,,,1,8,63,
238,,1,1.68,1,,9,25,,MIX002x60,3/6/18 17:44,1,TRUE,FALSE,,1,25,,,6,4/20/21 10:47,TRUE,4,"SNACK | Cajú, arándanos y curry disp 60u x28g",FALSE,product,no-message,,manual,order,no,lot,,,,0,FALSE,,receive,no-message,,180,,,0,,equal,,,,,,,1,9,63,
239,,1,2.688,1,,9,22,,MIX002x12x8,3/6/18 17:44,1,TRUE,FALSE,,1,22,,,20,4/20/21 10:46,TRUE,4,"SNACK | Cajú, arándanos y curry 8 disp 12u x28g (96u)",FALSE,product,no-message,,manual,order,no,lot,,,,0,FALSE,,receive,no-message,,180,,,0,,equal,,,,,,,1,8,63,
240,,1,0.028,1,,9,1,,MIX002,3/6/18 17:44,1,TRUE,FALSE,,1,1,,,0.18,4/20/21 10:45,TRUE,4,"SNACK | Cajú, arándanos y curry x28g",FALSE,product,no-message,,manual,order,no,lot,,,,0,FALSE,,receive,no-message,,180,,,0,,equal,,,,,,,1,9,63,
241,,1,0.336,1,,8,20,,MIX004x12,3/6/18 17:44,1,TRUE,FALSE,,1,20,,,2,4/27/21 13:04,TRUE,4,SNACK | Frutos secos y salsa de soja disp 12u x28g,FALSE,product,no-message,,manual,order,no,lot,,,,0,FALSE,,receive,no-message,,180,,,0,,equal,,,,,,,1,8,64,
242,,1,1.68,1,,9,25,,MIX004x60,3/6/18 17:44,1,TRUE,FALSE,,1,25,,,6,4/20/21 10:50,TRUE,4,SNACK | Frutos secos y salsa de soja disp 60u x28g,FALSE,product,no-message,,manual,order,no,lot,,,,0,FALSE,,receive,no-message,,180,,,0,,equal,,,,,,,1,9,64,
243,,1,2.688,1,,9,22,,MIX004x12x8,3/6/18 17:44,1,TRUE,FALSE,,1,22,,,20,4/20/21 10:49,TRUE,4,SNACK | Frutos secos y salsa de soja 8 disp 12u x28g (96u),FALSE,product,no-message,,manual,order,no,lot,,,,0,FALSE,,receive,no-message,,180,,,0,,equal,,,,,,,1,8,64,
244,,1,0.028,1,,9,1,,MIX004,3/6/18 17:44,1,TRUE,FALSE,,1,1,,,0.18,4/20/21 10:48,TRUE,4,SNACK | Frutos secos y salsa de soja x28g,FALSE,product,no-message,,manual,order,no,lot,,,,0,FALSE,,receive,no-message,,180,,,0,,equal,,,,,,,1,9,64,
